date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:04	160800/160800	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Jan%202023%2013:46:10%20GMT	https://staking.shila.tech/images/background/promo-video-back.jpg	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/background/promo-video-back.jpg	(from https://staking.shila.tech/css/style8e0e.css?v=8)
14:26:05	92/92	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202023%2010:16:03%20GMT	https://staking.shila.tech/images/menu.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/menu.png	(from https://staking.shila.tech/style.css)
14:26:05	218450/218450	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Jan%202023%2013:46:09%20GMT	https://staking.shila.tech/images/background/comming-soon.jpg	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/background/comming-soon.jpg	(from https://staking.shila.tech/css/style8e0e.css?v=8)
14:26:05	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:04%20GMT	https://staking.shila.tech/images/other/line1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/other/line1.png	(from https://staking.shila.tech/style.css)
14:26:05	169744/169744	---M--	200	added ('OK')	font/ttf	date:Tue,%2024%20Jan%202023%2010:16:01%20GMT	https://staking.shila.tech/fonts/Kanit.ttf	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/fonts/Kanit.ttf	(from https://staking.shila.tech/style.css)
14:26:05	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:05%20GMT	https://staking.shila.tech/images/other/line2.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/other/line2.png	(from https://staking.shila.tech/style.css)
14:26:06	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:05%20GMT	https://staking.shila.tech/images/Backgrounds/bg3_.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/Backgrounds/bg3_.png	(from https://staking.shila.tech/style.css)
14:26:06	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:05%20GMT	https://staking.shila.tech/images/Backgrounds/bg.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/Backgrounds/bg.png	(from https://staking.shila.tech/style.css)
14:26:06	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:06%20GMT	https://staking.shila.tech/images/Backgrounds/stars-div.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/Backgrounds/stars-div.png	(from https://staking.shila.tech/style.css)
14:26:07	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:06%20GMT	https://staking.shila.tech/images/arrow1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/arrow1.png	(from https://staking.shila.tech/style.css)
14:26:07	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:07%20GMT	https://staking.shila.tech/images/diamond-base.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-base.png	(from https://staking.shila.tech/style.css)
14:26:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:07%20GMT	https://staking.shila.tech/images/diamond-main.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-main.png	(from https://staking.shila.tech/style.css)
14:26:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:07%20GMT	https://staking.shila.tech/images/diamond-top.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-top.png	(from https://staking.shila.tech/style.css)
14:26:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:08%20GMT	https://staking.shila.tech/images/diamond-base-1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-base-1.png	(from https://staking.shila.tech/style.css)
14:26:09	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:08%20GMT	https://staking.shila.tech/images/bitcoin-inside.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/bitcoin-inside.png	(from https://staking.shila.tech/style.css)
14:26:09	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:08%20GMT	https://staking.shila.tech/images/diamond-top-lines.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-top-lines.png	(from https://staking.shila.tech/style.css)
14:26:09	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:09%20GMT	https://staking.shila.tech/images/diamond-top-coin.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-top-coin.png	(from https://staking.shila.tech/style.css)
14:26:10	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:09%20GMT	https://staking.shila.tech/images/diamond-grid-1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-grid-1.png	(from https://staking.shila.tech/style.css)
14:26:10	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:09%20GMT	https://staking.shila.tech/images/diamond-top-ring.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-top-ring.png	(from https://staking.shila.tech/style.css)
14:26:11	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:10%20GMT	https://staking.shila.tech/images/OrbitSquare.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/OrbitSquare.png	(from https://staking.shila.tech/style.css)
14:26:11	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:10%20GMT	https://staking.shila.tech/images/diamond-grid-2.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/diamond-grid-2.png	(from https://staking.shila.tech/style.css)
14:26:11	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:11%20GMT	https://staking.shila.tech/images/page-header-bg.jpg	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/page-header-bg.jpg	(from https://staking.shila.tech/style.css)
14:26:12	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:11%20GMT	https://staking.shila.tech/images/platinum-base.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/platinum-base.png	(from https://staking.shila.tech/style.css)
14:26:12	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:11%20GMT	https://staking.shila.tech/images/platinum-base-line.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/platinum-base-line.png	(from https://staking.shila.tech/style.css)
14:26:12	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:12%20GMT	https://staking.shila.tech/images/platinum-waves.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/platinum-waves.png	(from https://staking.shila.tech/style.css)
14:26:13	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:12%20GMT	https://staking.shila.tech/images/coin-bg-icon.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/coin-bg-icon.png	(from https://staking.shila.tech/style.css)
14:26:13	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:12%20GMT	https://staking.shila.tech/images/gold-animation-icon.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/gold-animation-icon.png	(from https://staking.shila.tech/style.css)
14:26:13	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:13%20GMT	https://staking.shila.tech/images/platinum-top-lines.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/platinum-top-lines.png	(from https://staking.shila.tech/style.css)
14:26:14	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:13%20GMT	https://staking.shila.tech/images/platinum-move-1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/platinum-move-1.png	(from https://staking.shila.tech/style.css)
14:26:14	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:13%20GMT	https://staking.shila.tech/images/platinum-move-2.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/platinum-move-2.png	(from https://staking.shila.tech/style.css)
14:26:14	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:14%20GMT	https://staking.shila.tech/images/platinum-move-3.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/platinum-move-3.png	(from https://staking.shila.tech/style.css)
14:26:15	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:14%20GMT	https://staking.shila.tech/images/mercury-numbers-1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/mercury-numbers-1.png	(from https://staking.shila.tech/style.css)
14:26:15	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:15%20GMT	https://staking.shila.tech/images/mercury-earth-map.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/mercury-earth-map.png	(from https://staking.shila.tech/style.css)
14:26:16	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:15%20GMT	https://staking.shila.tech/images/mercury-earth.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/mercury-earth.png	(from https://staking.shila.tech/style.css)
14:26:16	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:15%20GMT	https://staking.shila.tech/images/earth-icon-1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/earth-icon-1.png	(from https://staking.shila.tech/style.css)
14:26:16	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:16%20GMT	https://staking.shila.tech/images/earth-icon-2.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/earth-icon-2.png	(from https://staking.shila.tech/style.css)
14:26:17	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:16%20GMT	https://staking.shila.tech/images/earth-icon-3.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/earth-icon-3.png	(from https://staking.shila.tech/style.css)
14:26:17	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:16%20GMT	https://staking.shila.tech/images/earth-icon-4.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/earth-icon-4.png	(from https://staking.shila.tech/style.css)
14:26:17	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:17%20GMT	https://staking.shila.tech/images/earth-icon-5.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/earth-icon-5.png	(from https://staking.shila.tech/style.css)
14:26:18	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:17%20GMT	https://staking.shila.tech/images/earth-icon-6.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/earth-icon-6.png	(from https://staking.shila.tech/style.css)
14:26:18	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:17%20GMT	https://staking.shila.tech/images/mercury-earth-cover.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/mercury-earth-cover.png	(from https://staking.shila.tech/style.css)
14:26:18	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:18%20GMT	https://staking.shila.tech/images/coinpool-dots-circle.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/coinpool-dots-circle.png	(from https://staking.shila.tech/style.css)
14:26:19	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:18%20GMT	https://staking.shila.tech/images/coin-1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/coin-1.png	(from https://staking.shila.tech/style.css)
14:26:19	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:56:19%20GMT	https://staking.shila.tech/images/coin-2.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/coin-2.png	(from https://staking.shila.tech/style.css)
